Date,Location,Description
8/26/1920,USA,"Though the United States was founded under democratic principles, only a minority of its population — in the beginning only white landowning males over the age of 21 — could actually vote. But after the 19th Amendment of the Constitution was passed, women finally gain a voice and the right to cast their ballots, though the voting rights fight was far from over for many African American women, especially in the South."
7/1/1921,China,"In a prequel to the rise of Mao Zedong and Red China, the Chinese Communist Party is founded and three weeks later it convenes its first National Congress that is attended by Mao. It would take another 28 years before the Republic of China becomes the People’s Republic of China."
2/28/1922,UK,"The British Empire was at its peak toward the end of World War I, commanding a global population estimated to be as many as 570 million people, or about a fourth of the world’s population at the time. The empire’s size began to shrink in 1920, when Britain declared limited independence for Egypt, which leads to full independence two years later."
9/1/1923,Japan,"The Great Kanto earthquake, also known as the Tokyo-Yokohama earthquake, strikes the Japanese mainland at noon on Sept. 1, 1923, with a magnitude of 7.9 on the Richter scale. The death toll is estimated at 140,000 people. The force of the temblor destroys hundreds of thousands of homes that either collapse or are engulfed in fire. The quake sets off a tsunami that reaches a height of almost 40 feet at Atami in the Sagami Gulf, killing 60 people there. The most significant outcome of the catastrophe is the rebuilt Tokyo would become a modern metropolis."
1/21/1924,Russia,"Following the death of Vladimir Lenin on Jan. 21, the new leader of the Soviet Union, Joseph Stalin, immediately begins a purge of political rivals. Some are simply moved to different positions, while others, like Leon Trotsky, the presumed successor to Lenin, are exiled. Stalin’s paranoia grows as he takes control of the nation, and with it the level of violence and killing of anyone perceived to be a threat to his power and control."
7/10/1925,USA,"After teaching the theory of evolution in a Tennessee high school, the state prosecutes science teacher John Thomas Scopes because state law prohibits such teaching as it runs counter to biblical beliefs. The trial pits well-known Christian fundamentalist and former presidential candidate William Jennings Bryan against renowned attorney Clarence Darrow. The jury rules against Scopes, forcing him to pay a fine of $100 (about $1,498 in 2020 dollars). It would take another 43 years before the U.S. Supreme Court would rule that laws punishing people for teaching evolution violate the First Amendment."
11/11/1926,USA,"In a precursor to the modern interstate highway system, the federal government introduces a national highway numbering system in an effort to standardize roadways, especially local roads and trails with names unfamiliar to outsiders. The U.S. Numbered Highway System makes it easier for the growing number of car owners to figure out how to get from one city or town to the next and opens the way for the great American road-trip tradition."
5/21/1927,"USA, France","When the monoplane The Spirit of St. Louis touches down at Le Bourget Field in Paris on the evening of May 21, Charles Lindbergh becomes the first person to fly over the Atlantic Ocean nonstop, making him one of the heroes of the age. His feat fires the imagination of aspiring aviators about the commercial possibilities of flight. Lindbergh would stay in the news, but for regrettable reasons. A strong advocate for American isolationism in the 1930s, he is criticized for his admiration of Nazi Germany’s aircraft industry. Also, his infant son would be killed during a bungled kidnapping attempt in 1932."
6/17/1928,UK,"Amelia Earhart becomes the first woman to pilot a plane across the Atlantic, from Newfoundland to Wales, making her an American national heroine and feminist icon who would go on to set numerous aviation records. She would later set another record as the first person — man or woman — to fly solo from Hawaii to the U.S. mainland. Earhart and her co-pilot Fred Noonan would vanish over the Pacific Ocean in 1937 during Earhart’s attempt to circumnavigate the globe. Recent evidence has emerged indicating Earhart may have sent distress signals after surviving a crash, possibly on the remote Gardner Island in the western Pacific Ocean."
10/24/1929,USA,"The “Roaring Twenties” come to a halt on Black Tuesday in October 1929, when stocks take a nosedive, contributing to the Great Depression. Reasons for the worst economic downturn in American history include over-lending by weakly regulated banks, excessive stock price valuation, too many stocks purchased on margin, unrestrained exuberance that sends millions of people to convert their savings into stocks, tightening of the credit by the Federal Reserve, and an agricultural drought."
